device_pin_id,ball,power_domain_id
ID_1987,D6,ID_1988
ID_1993,C6,ID_1988
ID_1999,E6,ID_1988
ID_2002,E7,ID_1988
ID_2005,B6,ID_1988
ID_2008,A7,ID_1988
ID_2012,B7,ID_1988
ID_2016,D7,ID_1988
ID_2019,C7,ID_1988
ID_2022,C8,ID_1988
ID_2025,A9,ID_1988
ID_2029,A8,ID_1988
ID_2032,D8,ID_1988
ID_2038,E8,ID_1988
ID_2044,C9,ID_1988
ID_2048,D9,ID_1988
ID_2051,B8,ID_1988
ID_2057,B9,ID_1988
ID_2063,E9,ID_1988
ID_2067,A10,ID_1988
ID_2070,A11,ID_1988
ID_2074,B10,ID_1988
ID_2077,B12,ID_1988
ID_2079,B21,ID_2080
ID_2082,B13,ID_1988
ID_2085,A20,ID_2080
ID_2087,B11,ID_1988
ID_2090,D11,ID_1988
ID_2092,C11,ID_1988
ID_2094,A12,ID_1988
ID_2096,C12,ID_1988
ID_2098,D10,ID_1988
ID_2100,E10,ID_1988
ID_2102,B20,ID_2080
ID_2105,C21,ID_2080
ID_2107,N20,ID_2108
ID_2113,N21,ID_2108
ID_2116,N19,ID_2108
ID_2119,M19,ID_2108
ID_2122,M18,ID_2108
ID_2125,M20,ID_2108
ID_2128,M21,ID_2108
ID_2131,P21,ID_2108
ID_2134,P20,ID_2108
ID_2137,N18,ID_2108
ID_2140,M17,ID_2108
ID_2143,L19,ID_2108
ID_2146,L18,ID_2108
ID_2149,K17,ID_2108
ID_2153,L17,ID_2108
ID_2158,T20,ID_2159
ID_2171,U21,ID_2159
ID_2180,T18,ID_2159
ID_2188,U20,ID_2159
ID_2198,U18,ID_2159
ID_2206,U19,ID_2159
ID_2215,V20,ID_2159
ID_2225,V21,ID_2159
ID_2236,V19,ID_2159
ID_2246,T17,ID_2159
ID_2254,R16,ID_2159
ID_2263,W20,ID_2159
ID_2275,W21,ID_2159
ID_2284,V18,ID_2159
ID_2293,Y21,ID_2159
ID_2302,Y20,ID_2159
ID_2309,R17,ID_2159
