soc,package,ball,device_pin_id,device_pin_name,control_register_offset,interface_name,signal_name,peripheral_pin_id,peripheral_pin_name,mux_mode,io_dir,power_domain_id,domain,linux_macro,dts_offset,source
AM64x,ALV,D6,ID_1987,MCU_SPI0_CS0,0x0000,MCU_GPIO0,MCU_GPIO0_13,ID_1992,MCU_GPIO0_13,7,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0000,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,D6,ID_1987,MCU_SPI0_CS0,0x0000,MCU_SPI0,MCU_SPI0_CS0,ID_1990,MCU_SPI0_CS0,0,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0000,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,N20,ID_2107,OSPI0_CLK,0x0000,GPIO0,GPIO0_0,ID_2112,GPIO0_0,7,,ID_2108,MAIN,AM64X_IOPAD,0x0000,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,N20,ID_2107,OSPI0_CLK,0x0000,OSPI0,OSPI0_CLK,ID_2110,OSPI0_CLK,0,,ID_2108,MAIN,AM64X_IOPAD,0x0000,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,C6,ID_1993,MCU_SPI0_CS1,0x0004,MCU_GPIO0,MCU_GPIO0_12,ID_1998,MCU_GPIO0_12,7,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0004,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,C6,ID_1993,MCU_SPI0_CS1,0x0004,MCU_SYSTEM0,MCU_OBSCLK0,ID_1996,MCU_OBSCLK0,1,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0004,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,C6,ID_1993,MCU_SPI0_CS1,0x0004,MCU_SPI0,MCU_SPI0_CS1,ID_1994,MCU_SPI0_CS1,0,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0004,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,C6,ID_1993,MCU_SPI0_CS1,0x0004,MCU_SYSTEM0,MCU_SYSCLKOUT0,ID_1997,MCU_SYSCLKOUT0,2,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0004,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,N21,ID_2113,OSPI0_LBCLKO,0x0004,GPIO0,GPIO0_1,ID_2115,GPIO0_1,7,,ID_2108,MAIN,AM64X_IOPAD,0x0004,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,N21,ID_2113,OSPI0_LBCLKO,0x0004,OSPI0,OSPI0_LBCLKO,ID_2114,OSPI0_LBCLKO,0,,ID_2108,MAIN,AM64X_IOPAD,0x0004,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,E6,ID_1999,MCU_SPI0_CLK,0x0008,MCU_GPIO0,MCU_GPIO0_11,ID_2001,MCU_GPIO0_11,7,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0008,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,E6,ID_1999,MCU_SPI0_CLK,0x0008,MCU_SPI0,MCU_SPI0_CLK,ID_2000,MCU_SPI0_CLK,0,,ID_1988,MCU_WKUP,AM64X_MCU_IOPAD,0x0008,sysconfig:dist/deviceData/AM64x/AM64x.json
AM64x,ALV,N19,ID_2116,OSPI0_DQS,0x0008,GPIO0,GPIO0_2,ID_2118,GPIO0_2,7,,ID_2108,MAIN,AM64X_IOPAD,0x0008,sysconfig:dist/deviceData/AM64x/AM64x.json
