interface_key,category,detected_signals,valid_pin_count,controller_ready,node_name,notes
DDR0,ddr,DDR0_A0; DDR0_A1; DDR0_A2; DDR0_A3; DDR0_A4; DDR0_A5; DDR0_CAL0; DDR0_CK0; DDR0_CK0_n; DDR0_CKE0; DDR0_CS0_n; DDR0_CS1_n; DDR0_DM0; DDR0_DM1; DDR0_DQ0; DDR0_DQ1; DDR0_DQ10; DDR0_DQ11; DDR0_DQ12; DDR0_DQ13; DDR0_DQ14; DDR0_DQ15; DDR0_DQ2; DDR0_DQ3; DDR0_DQ4; DDR0_DQ5; DDR0_DQ6; DDR0_DQ7; DDR0_DQ8; DDR0_DQ9; DDR0_DQS0; DDR0_DQS0_n; DDR0_DQS1; DDR0_DQS1_n; DDR0_RESET0_n,0,no,,No readiness rule
GPIO0,unknown,GPIO0_13; GPIO0_14; GPIO0_45; GPIO0_51; GPIO0_60,5,no,,No readiness rule
GPIO1,unknown,GPIO1_70,1,no,,No readiness rule
GPMC0,gpmc,GPMC0_AD0; GPMC0_AD1; GPMC0_AD10; GPMC0_AD11; GPMC0_AD12; GPMC0_AD13; GPMC0_AD14; GPMC0_AD15; GPMC0_AD2; GPMC0_AD3; GPMC0_AD4; GPMC0_AD5; GPMC0_AD6; GPMC0_AD7; GPMC0_AD8; GPMC0_AD9; GPMC0_BE0n_CLE; GPMC0_BE1n; GPMC0_CLK; GPMC0_CSn0; GPMC0_OEn_REn; GPMC0_WEn,22,no,,No readiness rule
I2C0,i2c,I2C0_SCL; I2C0_SDA,2,yes,main_i2c0,SCL/SDA required
I2C1,i2c,I2C1_SCL; I2C1_SDA,2,yes,main_i2c1,SCL/SDA required
MCU_DEBUG0,debug,EMU0; EMU1; TCK; TDI; TDO; TMS; TRSTn,7,no,,No readiness rule
MCU_GPIO0,unknown,MCU_GPIO0_5,1,no,,No readiness rule
MCU_OSC0,clock,MCU_OSC0_XI,0,no,,No readiness rule
MCU_SYSTEM0,system,MCU_PORz; MCU_RESETSTATz; MCU_RESETz; MCU_SAFETY_ERRORn,4,no,,No readiness rule
MCU_UART0,uart,MCU_UART0_RXD; MCU_UART0_TXD,2,yes,mcu_uart0,RXD/TXD required
MMC0,mmc,MMC0_CALPAD; MMC0_CLK; MMC0_CMD; MMC0_DAT0; MMC0_DAT1; MMC0_DAT2; MMC0_DAT3; MMC0_DAT4; MMC0_DAT5; MMC0_DAT6; MMC0_DAT7; MMC0_DS,0,yes,sdhci0,CLK/CMD/DAT0 required
OSPI0,ospi,OSPI0_CLK; OSPI0_CSn0; OSPI0_D0; OSPI0_D1; OSPI0_D2; OSPI0_D3; OSPI0_D4; OSPI0_D5; OSPI0_D6; OSPI0_D7; OSPI0_DQS; OSPI0_LBCLKO,12,yes,ospi0,CLK/CSN0/D0 required
PRU_ICSSG0_PRU0,pru,PRG0_PRU0_GPO14; PRG0_PRU0_GPO16; PRG0_PRU0_GPO18; PRG0_PRU0_GPO19; PRG0_PRU0_GPO4; PRG0_PRU0_GPO8; PRG0_PRU0_GPO9,7,no,,No readiness rule
PRU_ICSSG0_PRU1,pru,PRG0_PRU1_GPO12; PRG0_PRU1_GPO13; PRG0_PRU1_GPO14; PRG0_PRU1_GPO15; PRG0_PRU1_GPO18; PRG0_PRU1_GPO19,6,no,,No readiness rule
PRU_ICSSG1_PRU0,pru,PRG1_PRU0_GPO10; PRG1_PRU0_GPO5; PRG1_PRU0_GPO8; PRG1_PRU0_GPO9,4,no,,No readiness rule
PRU_ICSSG1_PRU1,pru,PRG1_PRU1_GPO0; PRG1_PRU1_GPO1; PRG1_PRU1_GPO10; PRG1_PRU1_GPO11; PRG1_PRU1_GPO12; PRG1_PRU1_GPO13; PRG1_PRU1_GPO14; PRG1_PRU1_GPO15; PRG1_PRU1_GPO16; PRG1_PRU1_GPO17; PRG1_PRU1_GPO18; PRG1_PRU1_GPO19; PRG1_PRU1_GPO2; PRG1_PRU1_GPO3; PRG1_PRU1_GPO4; PRG1_PRU1_GPO5; PRG1_PRU1_GPO6; PRG1_PRU1_GPO7; PRG1_PRU1_GPO8; PRG1_PRU1_GPO9,20,no,,No readiness rule
SERDES0,serdes,SERDES0_REFCLK0N; SERDES0_REFCLK0P; SERDES0_REXT,0,no,,No readiness rule
SYSTEM0,system,PORz_OUT; RESETSTATz; RESET_REQz,3,no,,No readiness rule
UART0,uart,UART0_RXD; UART0_TXD,2,yes,main_uart0,RXD/TXD required
UART1,uart,UART1_RXD; UART1_TXD,2,yes,main_uart1,RXD/TXD required
UART2,uart,UART2_TXD,1,no,main_uart2,RXD/TXD required
USB0,usb,USB0_DM; USB0_DP; USB0_DRVVBUS; USB0_ID; USB0_RCALIB; USB0_VBUS,1,no,,No readiness rule
