status,ball,soc_pin_name,net_name,candidate_signals,source_line,match_reason,interface_key,db_signal_name,db_device_pin_name,db_interface_name,dts_offset,mux_mode,linux_macro,result,confidence
OUT_OF_SCOPE,A1,VSS_P,GND,VSS_P,U1-A1 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
NON_PINCTRL_HW,A12,TDO,N15446243,TDO,U1-A12 AM6412-TDO OUTPUT,soc_pin_name:TDO; system/reset/debug/clock hardware fact,MCU_DEBUG0,TDO,TDO,MCU_DEBUG0,0x0074,0,AM64X_MCU_IOPAD,NON_PINCTRL_HW,HIGH
MATCHED,A18,I2C0_SCL,I2C0_SCL,I2C0_SCL,U1-A18 AM6412-I2C0_SCL PASSIVE,soc_pin_name:I2C0_SCL; ball + TI symbol pin name matched SysConfig DB,I2C0,I2C0_SCL,I2C0_SCL,I2C0,0x0260,0,AM64X_IOPAD,PINMUX_DTS,HIGH
PRE_LINUX_CONFIG,A2,DDR0_DQ1,LPDDR4_DQ1,DDR0_DQ1,U1-A2 AM6412-DDR0_DQ1 PASSIVE,soc_pin_name:DDR0_DQ1; pre-Linux controller or PHY domain,DDR0,DDR0_DQ1,DDR0_DQ1,DDR0,NOT FOUND,0,AM64X_IOPAD,PRE_LINUX_CONFIG,HIGH
NON_PINCTRL_HW,A20,MCU_SAFETY_ERRORN,N15985628,MCU_SAFETY_ERRORN,U1-A20 AM6412-MCU_SAFETY_ERRORN PASSIVE,soc_pin_name:MCU_SAFETY_ERRORN; system/reset/debug/clock hardware fact,MCU_SYSTEM0,MCU_SAFETY_ERRORn,MCU_SAFETY_ERRORn,MCU_SYSTEM0,0x0064,0,AM64X_MCU_IOPAD,NON_PINCTRL_HW,HIGH
OUT_OF_SCOPE,A21,VSS_P,GND,VSS_P,U1-A21 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
PRE_LINUX_CONFIG,A3,DDR0_DQ0,LPDDR4_DQ0,DDR0_DQ0,U1-A3 AM6412-DDR0_DQ0 PASSIVE,soc_pin_name:DDR0_DQ0; pre-Linux controller or PHY domain,DDR0,DDR0_DQ0,DDR0_DQ0,DDR0,NOT FOUND,0,AM64X_IOPAD,PRE_LINUX_CONFIG,HIGH
PRE_LINUX_CONFIG,A4,DDR0_DQ3,LPDDR4_DQ3,DDR0_DQ3,U1-A4 AM6412-DDR0_DQ3 PASSIVE,soc_pin_name:DDR0_DQ3; pre-Linux controller or PHY domain,DDR0,DDR0_DQ3,DDR0_DQ3,DDR0,NOT FOUND,0,AM64X_IOPAD,PRE_LINUX_CONFIG,HIGH
OUT_OF_SCOPE,A5,VSS_P,GND,VSS_P,U1-A5 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,A6,VSS_P,GND,VSS_P,U1-A6 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
MATCHED,A7,MCU_SPI1_CS0,TEST_LED2,MCU_GPIO0_5,U1-A7 AM6412-MCU_SPI1_CS0 PASSIVE,board_mux_decision:test_led2_gpio_on_a7; explicit board-level override,MCU_GPIO0,MCU_GPIO0_5,MCU_SPI1_CS0,MCU_GPIO0,0x0014,7,AM64X_MCU_IOPAD,PINMUX_DTS,HIGH
MATCHED,A8,MCU_UART0_TXD,MCU_UART0_TXD,MCU_UART0_TXD,U1-A8 AM6412-MCU_UART0_TXD PASSIVE,soc_pin_name:MCU_UART0_TXD; ball + TI symbol pin name matched SysConfig DB,MCU_UART0,MCU_UART0_TXD,MCU_UART0_TXD,MCU_USART0,0x002c,0,AM64X_MCU_IOPAD,PINMUX_DTS,HIGH
MATCHED,A9,MCU_UART0_RXD,MCU_UART0_RXD,MCU_UART0_RXD,U1-A9 AM6412-MCU_UART0_RXD PASSIVE,soc_pin_name:MCU_UART0_RXD; ball + TI symbol pin name matched SysConfig DB,MCU_UART0,MCU_UART0_RXD,MCU_UART0_RXD,MCU_USART0,0x0028,0,AM64X_MCU_IOPAD,PINMUX_DTS,HIGH
OUT_OF_SCOPE,AA1,VSS_P,GND,VSS_P,U1-AA1 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
MATCHED,AA10,PRG1_PRU1_GPO11,CPSW_RGMII2_TXD0,PRG1_PRU1_GPO11,U1-AA10 AM6412-PRG1_PRU1_GPO11 PASSIVE,soc_pin_name:PRG1_PRU1_GPO11; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO11,PRG1_PRU1_GPO11,PRU_ICSSG1_PRU1,0x0134,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,AA11,PRG1_PRU1_GPO14,CPSW_RGMII2_TXD3,PRG1_PRU1_GPO14,U1-AA11 AM6412-PRG1_PRU1_GPO14 PASSIVE,soc_pin_name:PRG1_PRU1_GPO14; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO14,PRG1_PRU1_GPO14,PRU_ICSSG1_PRU1,0x0140,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,AA12,PRG1_PRU1_GPO2,CPSW_RGMII2_RXD2,PRG1_PRU1_GPO2,U1-AA12 AM6412-PRG1_PRU1_GPO2 PASSIVE,soc_pin_name:PRG1_PRU1_GPO2; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO2,PRG1_PRU1_GPO2,PRU_ICSSG1_PRU1,0x0110,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,AA13,PRG1_PRU1_GPO5,CPSW_RGMII1_RXD0,PRG1_PRU1_GPO5,U1-AA13 AM6412-PRG1_PRU1_GPO5 PASSIVE,soc_pin_name:PRG1_PRU1_GPO5; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO5,PRG1_PRU1_GPO5,PRU_ICSSG1_PRU1,0x011c,0,AM64X_IOPAD,PINMUX_DTS,HIGH
